ModelID,n_estimator,learning_rate,max_depth,min_samples_split,ModelID,Val Accuracy,Precision,Recall,F-Score
Model1,100,0.05,3,2,Model1,0.741495361,0.744520548,0.763074763,0.753683481
Model2,100,0.05,3,4,Model2,0.741495361,0.744520548,0.763074763,0.753683481
Model3,100,0.05,3,8,Model3,0.741495361,0.744520548,0.763074763,0.753683481
Model4,100,0.05,5,2,Model4,0.752683282,0.757565278,0.768866269,0.76317394
Model5,100,0.05,5,4,Model5,0.752501364,0.757659685,0.768164268,0.762875817
Model6,100,0.05,5,8,Model6,0.75277424,0.757251381,0.76974377,0.763446475
Model7,100,0.05,10,2,Model7,0.754957249,0.754921928,0.780624781,0.76755824
Model8,100,0.05,10,4,Model8,0.753047117,0.75439195,0.776237276,0.765158723
Model9,100,0.05,10,8,Model9,0.753229034,0.754736303,0.776061776,0.765250498
Model10,100,0.1,3,2,Model10,0.750500273,0.753561009,0.770621271,0.761995662
Model11,100,0.1,3,4,Model11,0.750500273,0.753561009,0.770621271,0.761995662
Model12,100,0.1,3,8,Model12,0.750500273,0.753561009,0.770621271,0.761995662
Model13,100,0.1,5,2,Model13,0.754320538,0.759211209,0.77027027,0.764700758
Model14,100,0.1,5,4,Model14,0.756594506,0.76187175,0.771498771,0.76665504
Model15,100,0.1,5,8,Model15,0.755503002,0.760560942,0.770972271,0.765731218
Model16,100,0.1,10,2,Model16,0.752592323,0.753489956,0.776763777,0.764949879
Model17,100,0.1,10,4,Model17,0.751955612,0.753628137,0.774657775,0.763998269
Model18,100,0.1,10,8,Model18,0.754957249,0.755181787,0.78009828,0.767437845
Model19,100,0.5,3,2,Model19,0.752956158,0.75513347,0.774482274,0.764685496
Model20,100,0.5,3,4,Model20,0.756594506,0.759354617,0.776412776,0.767788962
Model21,100,0.5,3,8,Model21,0.754957249,0.759054846,0.772376272,0.76565762
Model22,100,0.5,5,2,Model22,0.748772057,0.748644986,0.775710776,0.761937597
Model23,100,0.5,5,4,Model23,0.750409314,0.753257888,0.770972271,0.762012142
Model24,100,0.5,5,8,Model24,0.746043296,0.747867622,0.769392769,0.758477509
Model25,100,0.5,10,2,Model25,0.718846644,0.727924462,0.730607231,0.729263379
Model26,100,0.5,10,4,Model26,0.719756231,0.730572687,0.727623728,0.729095226
Model27,100,0.5,10,8,Model27,0.727578679,0.73410705,0.743769744,0.738906808
Model28,300,0.05,3,2,Model28,0.75277424,0.756807997,0.770621271,0.763652174
Model29,300,0.05,3,4,Model29,0.752683282,0.756943247,0.77009477,0.763462375
Model30,300,0.05,3,8,Model30,0.752683282,0.75685463,0.77027027,0.763503523
Model31,300,0.05,5,2,Model31,0.755412043,0.760339159,0.771147771,0.765705324
Model32,300,0.05,5,4,Model32,0.755503002,0.760470751,0.771147771,0.765772046
Model33,300,0.05,5,8,Model33,0.755139167,0.75967519,0.771674272,0.765627721
Model34,300,0.05,10,2,Model34,0.748408223,0.748643148,0.774657775,0.761428325
Model35,300,0.05,10,4,Model35,0.752046571,0.753670195,0.774833275,0.764105227
