chrg_rate_rounded,CHRG_RATE,NBR_CASES,SHARE_CASES,CUM_CASES
0.0,0.0,394862,0.00044123632222379367,394862
1.0,0.006199854121079353,3799610,0.004245852835382358,4194472
3.0,0.022922636103152143,2517617,0.0028132969641244303,6712089
4.0,0.03488372093023261,26766,2.9909516237678132e-05,6738855
5.0,0.04918032786885243,3721,4.158010532780405e-06,6742576
9.0,0.08333333333333333,144,1.6091199051877946e-07,6742720
11.0,0.10666666666666692,22500,2.514249851855929e-05,6765220
12.0,0.11111111111111113,81,9.051299466681344e-08,6765301
13.0,0.125,179840,0.0002009611970478979,6945141
14.0,0.1355932203389829,3481,3.889823881915772e-06,6948622
18.0,0.17948717948717913,13689,1.5296696098691472e-05,6962311
19.0,0.18502202643171833,824464,0.000921292662160243,7786775
23.0,0.22287735849056295,17886240,0.019986878342337595,25673015
24.0,0.23306203255610067,81670394,0.09126212267356237,107343409
25.0,0.24511082138201046,396185,0.000442714701136685,107739594
26.0,0.259186673199412,2585845,0.0028895379591877307,110325439
29.0,0.28465039304922324,3235369,0.003615344901755229,113560808
30.0,0.29411764705882876,1580437,0.0017660504413856129,115141245
31.0,0.30716463414632494,13520318,0.015108203346020022,128661563
33.0,0.32830376388656185,27871211,0.03114452805679793,156532774
34.0,0.33417962551571717,3765153,0.004207349054428848,160297927
35.0,0.3462571528669565,24009575,0.026829364616388362,184307502
36.0,0.3562343329308895,256580422,0.28671435022339187,440887924
37.0,0.36439402708643376,49493611,0.05530635738869554,490381535
38.0,0.37454970304747476,22499327,0.025141746478492488,512880862
39.0,0.38790931989924127,610130,0.0006817863387168257,513490992
40.0,0.3987638867156912,82299364,0.09196496166437208,595790356
41.0,0.40426569165142767,20882999,0.02333558984091445,616673355
42.0,0.4120971302428056,43970599,0.04913469867634065,660643954
43.0,0.4257774300802132,7600565,0.008493208633453937,668244519
44.0,0.431089743589737,6028706,0.006736743629947977,674273225
45.0,0.44352888490816633,26167823,0.029241086711618743,700441048
46.0,0.45296752519597416,2385214,0.0026653439760643055,702826262
47.0,0.46250732278854084,6161042,0.006884621749234736,708987304
48.0,0.4719195305951554,28778481,0.03215835181817274,737765785
49.0,0.4851569126378347,751805,0.000840100271055354,738517590
50.0,0.49354838709677584,58684,6.557610591391704e-05,738576274
51.0,0.5069962686567111,1278220,0.0014283397536174601,739854494
52.0,0.5133928571428583,39538,4.4181515841190986e-05,739894032
53.0,0.5257731958762902,26756,2.9898341793892106e-05,739920788
54.0,0.5356074207062244,12582197,0.01405990530812094,752502985
55.0,0.5466101694915089,2635778,0.0029453353093444965,755138763
56.0,0.5521075019335081,69954698,0.078170484036945,825093461
57.0,0.5657142857142881,149387,0.00016693166338631186,825242848
58.0,0.5773600495765692,17015153,0.019013487070913763,842258001
59.0,0.5857787810383684,274566,0.0003068122332554111,842532567
60.0,0.5942028985507248,2801,3.129961704465981e-06,842535368
61.0,0.6089266737513267,302081,0.00033755871533266263,842837449
63.0,0.6227221314565831,27018429,0.030191591604724417,869855878
64.0,0.6358660656792908,5591530,0.006248223766287992,875447408
65.0,0.6481481481481501,23692,2.6474492217853632e-05,875471100
66.0,0.6536685479733185,3485281,0.0038946076613005707,878956381
67.0,0.6666666666666659,3366,3.7613177783764695e-06,878959747
68.0,0.6760945370011237,5873293,0.006563078246736206,884833040
69.0,0.6844106463878258,138676,0.00015496271664709903,884971716
70.0,0.6930693069306945,6961,7.778530319452942e-06,884978677
72.0,0.7162162162162151,46274,5.1708621175458334e-05,885024951
73.0,0.7299999999999965,90000,0.00010056999407423716,885114951
75.0,0.7493386243386257,2202848,0.0024615601145160575,887317799
77.0,0.7619047619047624,1764,1.9711718838550485e-06,887319563
80.0,0.7941176470588227,2554,2.8539529429511302e-06,887322117
82.0,0.8161127167630294,7540758,0.00842637763750285,894862875
85.0,0.8461538461538451,4986,5.5715776717127386e-06,894867861
86.0,0.8589743589743585,6084,6.798531599418432e-06,894873945
88.0,0.875,9280,1.0369883833432453e-05,894883225
90.0,0.8962264150943405,6010,6.715840715401837e-06,894889235
91.0,0.9014084507042246,5041,5.633037112535883e-06,894894276
95.0,0.9411764705882353,1156,1.2917657016646463e-06,894895432
97.0,0.9655172413793097,3364,3.7590828896192643e-06,894898796
100.0,1.0,332,3.7099153369607486e-07,894899128
